Author,context_left,context_right
"Aghajanyan
et al.","§6). Hy-
perlinks have a number of advantages. They provide
background knowledge about concepts that the doc-
ument writers deemed useful—the links are likely
to have high precision of relevance, and can also
bring in relevant documents that may not be obvious
via lexical similarity alone (e.g., in Figure 1, while
the hyperlinked article mentions “Japanese” and
“Yoshino” cherry trees, these words do not appear in
the anchor article). Hyperlinks are also ubiquitous
on the web and easily gathered at scale (","Aghajanyan
et al., 2021). To construct the document graph, we
simply make a directed edge (X(i);X(j))if there is
a hyperlink from document X(i)to document X(j).
For comparison, we also experiment with a docu-
ment graph built by lexical similarity between docu-
ments. For each document X(i), we use the common
TF-IDF cosine similarity metric (Chen et al., 2017;
Yasunaga et al., 2017) to obtain top- kdocuments
X(j)’s and make edges (X(i);X(j)). We usek=5.
4.2 Pretraining tasks
Creating input instances. Seve"
Chen et al.,"al., 2021). To construct the document graph, we
simply make a directed edge (X(i);X(j))if there is
a hyperlink from document X(i)to document X(j).
For comparison, we also experiment with a docu-
ment graph built by lexical similarity between docu-
ments. For each document X(i), we use the common
TF-IDF cosine similarity metric (","Chen et al., 2017;
Yasunaga et al., 2017) to obtain top- kdocuments
X(j)’s and make edges (X(i);X(j)). We usek=5.
4.2 Pretraining tasks
Creating input instances. Several works (Gao
et al., 2021; Levine et al., 2021) ﬁnd that LMs can
learn stronger dependencies between words that
were shown together in the same context during
tra"
Yasunaga et al.,"uestion answering.
Ma et al. (2021) study various hyperlink-aware
pretraining tasks for retrieval. While these works
use hyperlinks to learn retrievers, we focus on using
hyperlinks to create better context for learning
general-purpose LMs. Separately, Calixto et al.
(2021) use Wikipedia hyperlinks to learn multilin-
gual LMs. Citation links are often used to improve
summarization and recommendation of academic
papers (Qazvinian and Radev, 2008; ","Yasunaga et al.,
2019; Bhagavatula et al., 2018; Khadka et al., 2020;
Cohan et al., 2020). Here we leverage citation net-
works to improve pretraining general-purpose LMs.
Graph-augmented LMs. Several works aug-
ment LMs with graphs, typically, knowledge graphs
(KGs) where the nodes capture entities and edges
their relations. Zhang et al. (2019); He et al. (2020);
Wang et al. (2021b) combine LM training with
KG embeddings. Sun et al. (2020); Yasu"
"Gao
et al.","uilt by lexical similarity between docu-
ments. For each document X(i), we use the common
TF-IDF cosine similarity metric (Chen et al., 2017;
Yasunaga et al., 2017) to obtain top- kdocuments
X(j)’s and make edges (X(i);X(j)). We usek=5.
4.2 Pretraining tasks
Creating input instances. Several works (","Gao
et al., 2021; Levine et al., 2021) ﬁnd that LMs can
learn stronger dependencies between words that
were shown together in the same context during
training, than words that were not. To effectively
learn knowledge that spans across documents, we
create LM inputs by placing linked documents in
the"
 Levine et al.,"t of these
works). Additionally, we focus on incorporating
document links such as hyperlinks, which can offer
salient knowledge that common lexical retrieval
methods may not provide (Asai et al., 2020).
Pretrain LMs with related documents. Several
concurrent works use multiple related documentsto pretrain LMs. Caciularu et al. (2021) place doc-
uments (news articles) about the same topic into the
same LM context, and"," Levine et al. (2021) place sen-
tences of high lexical similarity into the same con-
text. Our work provides a general method to incor-
porate document links into LM pretraining, where
lexical or topical similarity can be one instance of
document links, besides hyperlinks. We focus on hy-
perlinks in this work, because we ﬁnd they can bring
in salient knowledge that may not be obvious via
lexical similarity, and yie"
Hu et al.,"ion objective in BERT.
Viewing the pretraining corpus as a graph
of documents, LinkBERT is also motivated as
self-supervised learning on the graph, where DRP
and MLM correspond to link prediction and node
feature prediction in graph machine learning (Yang
et al., 2015; ","Hu et al., 2020). Our modeling approach
thus provides a natural fusion of language-based
and graph-based self-supervised learning.
We train LinkBERT in two domains: the general
domain, using Wikipedia articles with hyperlinks
(§4), and the biomedical domain, using PubMe"
Bordes et al.,"d
link prediction, are commonly used to learn the
content and structure of a graph. In node feature
prediction (Hu et al., 2020), some features of a node
are masked, and the task is to predict them using
neighbor nodes. This corresponds to our MLM
task, where masked tokens in Segment A can be
predicted using Segment B (a linked document
on the graph), and vice versa. In link prediction
(","Bordes et al., 2013; Wang et al., 2021a), the task is
to predict the existence or type of an edge between
two nodes. This corresponds to our DRP task,
where we predict if the given pair of text segments
are linked (edge), contiguous (self-loop edge), or
random (no edge). Our approach can be viewed as
a natural fusion of language-based (e.g. BERT) and
graph-based self-supervised learning."
 Wang et al.,"content and structure of a graph. In node feature
prediction (Hu et al., 2020), some features of a node
are masked, and the task is to predict them using
neighbor nodes. This corresponds to our MLM
task, where masked tokens in Segment A can be
predicted using Segment B (a linked document
on the graph), and vice versa. In link prediction
(Bordes et al., 2013;"," Wang et al., 2021a), the task is
to predict the existence or type of an edge between
two nodes. This corresponds to our DRP task,
where we predict if the given pair of text segments
are linked (edge), contiguous (self-loop edge), or
random (no edge). Our approach can be viewed as
a natural fusion of language-based (e.g. BERT) and
graph-based self-supervised"
Zhang et al.,"ers (Qazvinian and Radev, 2008; Yasunaga et al.,
2019; Bhagavatula et al., 2018; Khadka et al., 2020;
Cohan et al., 2020). Here we leverage citation net-
works to improve pretraining general-purpose LMs.
Graph-augmented LMs. Several works aug-
ment LMs with graphs, typically, knowledge graphs
(KGs) where the nodes capture entities and edges
their relations. ","Zhang et al. (2019); He et al. (2020);
Wang et al. (2021b) combine LM training with
KG embeddings. Sun et al. (2020); Yasunaga et al.
(2021); Zhang et al. (2022) combine LMs and graph
neural networks (GNNs) to jointly train on text and
KGs. Different from KGs, we use document graphs
to learn knowledge that spans across documents.
3 Preliminaries
A language m"
"Asai
et al.","that may not be ob-
vious to the current LM. Hyperlinks are potentially
more advantageous than lexical similarity links in
this regard: LMs are shown to be good at recogniz-
ing lexical similarity (Zhang et al., 2020), and hyper-
links can bring in useful background knowledge thatmay not be obvious via lexical similarity alone (","Asai
et al., 2020). Indeed, we empirically ﬁnd that using
hyperlinks yields a more performant LM (§5.5).
Diversity. In the document graph, some docu-
ments may have a very high in-degree (e.g., many
incoming hyperlinks, like the “United States” page
of Wikipedia), and others a low in-degree. If we uni-
formly sample from the lin"
Henzinger et al.,"
incoming hyperlinks, like the “United States” page
of Wikipedia), and others a low in-degree. If we uni-
formly sample from the linked documents for each
anchor segment, we may include documents of high
in-degree too often in the overall training data, los-
ing diversity. To adjust so that all documents appear
with a similar frequency in training, we sample a
linked document with probability inversely propor-
tional to its in-degree, as done in graph data mining
literature (","Henzinger et al., 2000). We ﬁnd that this
technique yields a better LM performance (§5.5).
5 Experiments
We experiment with our proposed approach in the
general domain ﬁrst, where we pretrain LinkBERT
on Wikipedia articles with hyperlinks (§5.1) and
evaluate on a suite of downstream tasks (§5.2). We
compare with BERT (Devlin et al., 2019) as our base-
line. We experiment in the biomedical domain in §6.
5.1 Pretraining setup
Data. We use the same pretraining corpus used
by BER"
Devlin et al.,". LinkBERT is
especially effective for multi-hop reasoning and
few-shot QA (+5% absolute improvement on
HotpotQA and TriviaQA), and our biomedical
LinkBERT sets new states of the art on various
BioNLP tasks (+7% on BioASQ and USMLE).
We release our pretrained models, LinkBERT
andBioLinkBERT , as well as code and data.1
1 Introduction
Pretrained language models (LMs), like BERT and
GPTs (","Devlin et al., 2019; Brown et al., 2020), have
shown remarkable performance on many natural
language processing (NLP) tasks, such as text
classiﬁcation and question answering, becoming the
foundation of modern NLP systems (Bommasani
et al., 2021). By performing self-supervised learn-
ing, such as masked language modeling (Devlin
et al., 2019), LMs learn to encode various knowl-
edge from"
Zhu et al.,"edia articles with hyperlinks (§5.1) and
evaluate on a suite of downstream tasks (§5.2). We
compare with BERT (Devlin et al., 2019) as our base-
line. We experiment in the biomedical domain in §6.
5.1 Pretraining setup
Data. We use the same pretraining corpus used
by BERT: Wikipedia and BookCorpus (","Zhu et al.,
2015). For Wikipedia, we use the WikiExtractor3to
extract hyperlinks between Wiki articles. We then
create training instances by sampling contiguous ,
random , orlinked segments as described in §4, with
the three options appearing uniformly (33%, 33%,
33%). For BookCorpus, we create trai"
Devlin et al.,". LinkBERT is
especially effective for multi-hop reasoning and
few-shot QA (+5% absolute improvement on
HotpotQA and TriviaQA), and our biomedical
LinkBERT sets new states of the art on various
BioNLP tasks (+7% on BioASQ and USMLE).
We release our pretrained models, LinkBERT
andBioLinkBERT , as well as code and data.1
1 Introduction
Pretrained language models (LMs), like BERT and
GPTs (","Devlin et al., 2019; Brown et al., 2020), have
shown remarkable performance on many natural
language processing (NLP) tasks, such as text
classiﬁcation and question answering, becoming the
foundation of modern NLP systems (Bommasani
et al., 2021). By performing self-supervised learn-
ing, such as masked language modeling (Devlin
et al., 2019), LMs learn to encode various knowl-
edge from"
 Turc et al.," and BookCorpus to train
LinkBERT. In summary, our pretraining data is
the same as BERT, except that we have hyperlinks
between Wikipedia articles.
Implementation. We pretrain LinkBERT of
three sizes, -tiny, -base and -large, following the
conﬁgurations of BERT tiny (4.4M parameters),
BERT base(110M params), and BERT large (340M
params) (Devlin et al., 2019;"," Turc et al., 2019). We
use -tiny mainly for ablation studies.
For -tiny, we pretrain from scratch with ran-
dom weight initialization. We use the AdamW
(Loshchilov and Hutter, 2019) optimizer with
(1;2) = (0:9;0:98), warm up the learning rate
for the ﬁrst 5,000 steps and then linearly decay it.
3https://github.com/attardi/wikiextractorWe train for 10,000 "
Loshchilov and Hutter,"y sampling contiguous orrandom segments (50%,
50%) as in BERT. We then combine the training
instances from Wikipedia and BookCorpus to train
LinkBERT. In summary, our pretraining data is
the same as BERT, except that we have hyperlinks
between Wikipedia articles.
Implementation. We pretrain LinkBERT of
three sizes, -tiny, -base and -large, following the
conﬁgurations of BERT tiny (4.4M parameters),
BERT base(110M params), and BERT large (340M
params) (Devlin et al., 2019; Turc et al., 2019). We
use -tiny mainly for ablation studies.
For -tiny, we pretrain from scratch with ran-
dom weight initialization. We use the AdamW
(","Loshchilov and Hutter, 2019) optimizer with
(1;2) = (0:9;0:98), warm up the learning rate
for the ﬁrst 5,000 steps and then linearly decay it.
3https://github.com/attardi/wikiextractorWe train for 10,000 steps with a peak learning rate
5e-3, weight decay 0.01, and batch size of 2,048
sequences with 512 tokens. Training took 1 day on
two GeForce RTX 2080 Ti GPUs with fp16.
For -base, we initialize LinkBERT with the
BERT base checkpoint released by Devlin et al.
(2019) and continue pretraining. We use a peak
learning rate 3e-4 and train for 40,000 steps. Other
training hyperparameters are the same as -tiny.
Training took 4"
"Devlin et al.
(2019","nly for ablation studies.
For -tiny, we pretrain from scratch with ran-
dom weight initialization. We use the AdamW
(Loshchilov and Hutter, 2019) optimizer with
(1;2) = (0:9;0:98), warm up the learning rate
for the ﬁrst 5,000 steps and then linearly decay it.
3https://github.com/attardi/wikiextractorWe train for 10,000 steps with a peak learning rate
5e-3, weight decay 0.01, and batch size of 2,048
sequences with 512 tokens. Training took 1 day on
two GeForce RTX 2080 Ti GPUs with fp16.
For -base, we initialize LinkBERT with the
BERT base checkpoint released by ","Devlin et al.
(2019) and continue pretraining. We use a peak
learning rate 3e-4 and train for 40,000 steps. Other
training hyperparameters are the same as -tiny.
Training took 4 days on four A100 GPUs with fp16.
For -large, we follow the same procedure as
-base, except that we use a peak learning rate of 2e-4.
Training took 7 days on eight A100 GPUs with fp16.
Baselines. We compare LinkBERT with BERT.
Speciﬁcally, for the -tiny scale, we compare with
BERT tiny, which we pretrain from scratch with the
same hyperparameters as LinkBERT tiny. The only
difference is th"
"Devlin et al.
(2019","nly for ablation studies.
For -tiny, we pretrain from scratch with ran-
dom weight initialization. We use the AdamW
(Loshchilov and Hutter, 2019) optimizer with
(1;2) = (0:9;0:98), warm up the learning rate
for the ﬁrst 5,000 steps and then linearly decay it.
3https://github.com/attardi/wikiextractorWe train for 10,000 steps with a peak learning rate
5e-3, weight decay 0.01, and batch size of 2,048
sequences with 512 tokens. Training took 1 day on
two GeForce RTX 2080 Ti GPUs with fp16.
For -base, we initialize LinkBERT with the
BERT base checkpoint released by ","Devlin et al.
(2019) and continue pretraining. We use a peak
learning rate 3e-4 and train for 40,000 steps. Other
training hyperparameters are the same as -tiny.
Training took 4 days on four A100 GPUs with fp16.
For -large, we follow the same procedure as
-base, except that we use a peak learning rate of 2e-4.
Training took 7 days on eight A100 GPUs with fp16.
Baselines. We compare LinkBERT with BERT.
Speciﬁcally, for the -tiny scale, we compare with
BERT tiny, which we pretrain from scratch with the
same hyperparameters as LinkBERT tiny. The only
difference is th"
Fisch et al.,"
For -large, we follow the same procedure as -base.
5.2 Evaluation tasks
We ﬁne-tune and evaluate LinkBERT on a suite of
downstream tasks.
Extractive question answering (QA). Given a
document (or set of documents) and a question as
input, the task is to identify an answer span from
the document. We evaluate on six popular datasets
from the MRQA shared task (","Fisch et al., 2019):
HotpotQA (Yang et al., 2018), TriviaQA (Joshi
et al., 2017), NaturalQ (Kwiatkowski et al., 2019),
SearchQA (Dunn et al., 2017), NewsQA (Trischler
et al., 2017), and SQuAD (Rajpurkar et al., 2016).
As the MRQA shared task does not have a public
test set, we split the dev set in half to make new
dev and test sets. We follow the ﬁne-tuning "
Yang et al.,"ation tasks
We ﬁne-tune and evaluate LinkBERT on a suite of
downstream tasks.
Extractive question answering (QA). Given a
document (or set of documents) and a question as
input, the task is to identify an answer span from
the document. We evaluate on six popular datasets
from the MRQA shared task (Fisch et al., 2019):
HotpotQA (","Yang et al., 2018), TriviaQA (Joshi
et al., 2017), NaturalQ (Kwiatkowski et al., 2019),
SearchQA (Dunn et al., 2017), NewsQA (Trischler
et al., 2017), and SQuAD (Rajpurkar et al., 2016).
As the MRQA shared task does not have a public
test set, we split the dev set in half to make new
dev and test sets. We follow the ﬁne-tuning m"
"Joshi
et al.","ation tasks
We ﬁne-tune and evaluate LinkBERT on a suite of
downstream tasks.
Extractive question answering (QA). Given a
document (or set of documents) and a question as
input, the task is to identify an answer span from
the document. We evaluate on six popular datasets
from the MRQA shared task (Fisch et al., 2019):
HotpotQA (Yang et al., 2018), TriviaQA (","Joshi
et al., 2017), NaturalQ (Kwiatkowski et al., 2019),
SearchQA (Dunn et al., 2017), NewsQA (Trischler
et al., 2017), and SQuAD (Rajpurkar et al., 2016).
As the MRQA shared task does not have a public
test set, we split the dev set in half to make new
dev and test sets. We follow the ﬁne-tuning method
BERT (Devlin et al., 2019) uses for extractive QA.
Mor"
Dunn et al.,"answering (QA). Given a
document (or set of documents) and a question as
input, the task is to identify an answer span from
the document. We evaluate on six popular datasets
from the MRQA shared task (Fisch et al., 2019):
HotpotQA (Yang et al., 2018), TriviaQA (Joshi
et al., 2017), NaturalQ (Kwiatkowski et al., 2019),
SearchQA (","Dunn et al., 2017), NewsQA (Trischler
et al., 2017), and SQuAD (Rajpurkar et al., 2016).
As the MRQA shared task does not have a public
test set, we split the dev set in half to make new
dev and test sets. We follow the ﬁne-tuning method
BERT (Devlin et al., 2019) uses for extractive QA.
More details are provided in Appendix B.
"
"Trischler
et al.","dure as -base.
5.2 Evaluation tasks
We ﬁne-tune and evaluate LinkBERT on a suite of
downstream tasks.
Extractive question answering (QA). Given a
document (or set of documents) and a question as
input, the task is to identify an answer span from
the document. We evaluate on six popular datasets
from the MRQA shared task (Fisch et al., 2019):
HotpotQA (Yang et al., 2018), TriviaQA (Joshi
et al., 2017), NaturalQ (Kwiatkowski et al., 2019),
SearchQA (Dunn et al., 2017), NewsQA (","Trischler
et al., 2017), and SQuAD (Rajpurkar et al., 2016).
As the MRQA shared task does not have a public
test set, we split the dev set in half to make new
dev and test sets. We follow the ﬁne-tuning method
BERT (Devlin et al., 2019) uses for extractive QA.
More details are provided in Appendix B.
GLUE. The General Language Understanding
Evaluation (GLUE) benchmark (Wang et al., 2018)
is a popular suite of sentence-level classiﬁcation
tasks. Following BERT, we evaluate on "
Devlin et al.,". LinkBERT is
especially effective for multi-hop reasoning and
few-shot QA (+5% absolute improvement on
HotpotQA and TriviaQA), and our biomedical
LinkBERT sets new states of the art on various
BioNLP tasks (+7% on BioASQ and USMLE).
We release our pretrained models, LinkBERT
andBioLinkBERT , as well as code and data.1
1 Introduction
Pretrained language models (LMs), like BERT and
GPTs (","Devlin et al., 2019; Brown et al., 2020), have
shown remarkable performance on many natural
language processing (NLP) tasks, such as text
classiﬁcation and question answering, becoming the
foundation of modern NLP systems (Bommasani
et al., 2021). By performing self-supervised learn-
ing, such as masked language modeling (Devlin
et al., 2019), LMs learn to encode various knowl-
edge from"
Wang et al.," al., 2018; Khadka et al., 2020;
Cohan et al., 2020). Here we leverage citation net-
works to improve pretraining general-purpose LMs.
Graph-augmented LMs. Several works aug-
ment LMs with graphs, typically, knowledge graphs
(KGs) where the nodes capture entities and edges
their relations. Zhang et al. (2019); He et al. (2020);
","Wang et al. (2021b) combine LM training with
KG embeddings. Sun et al. (2020); Yasunaga et al.
(2021); Zhang et al. (2022) combine LMs and graph
neural networks (GNNs) to jointly train on text and
KGs. Different from KGs, we use document graphs
to learn knowledge that spans across documents.
3 Preliminaries
A language model (LM)"
Warstadt et al.,"Rajpurkar et al., 2016).
As the MRQA shared task does not have a public
test set, we split the dev set in half to make new
dev and test sets. We follow the ﬁne-tuning method
BERT (Devlin et al., 2019) uses for extractive QA.
More details are provided in Appendix B.
GLUE. The General Language Understanding
Evaluation (GLUE) benchmark (Wang et al., 2018)
is a popular suite of sentence-level classiﬁcation
tasks. Following BERT, we evaluate on CoLA
(","Warstadt et al., 2019), SST-2 (Socher et al., 2013),
MRPC (Dolan and Brockett, 2005), QQP ,STS-B
(Cer et al., 2017), MNLI (Williams et al., 2017),
QNLI (Rajpurkar et al., 2016), and RTE (Dagan
et al., 2005; Haim et al., 2006; GiampiccoloHotpotQA TriviaQA SearchQA NaturalQ NewsQA SQuAD Avg.
BERT tiny 49.8 43.4 50.2 58.9 41.3 56.6 50.0
LinkBERT tiny 54.6 50.0 58.6 60.3 42.8 58.0 54.1
BERT base 76.0 70.3 74.2 76.5 65.7 88.7 75.2
LinkBERT base 78.2 7"
Dolan and Brockett,"hler
et al., 2017), and SQuAD (Rajpurkar et al., 2016).
As the MRQA shared task does not have a public
test set, we split the dev set in half to make new
dev and test sets. We follow the ﬁne-tuning method
BERT (Devlin et al., 2019) uses for extractive QA.
More details are provided in Appendix B.
GLUE. The General Language Understanding
Evaluation (GLUE) benchmark (Wang et al., 2018)
is a popular suite of sentence-level classiﬁcation
tasks. Following BERT, we evaluate on CoLA
(Warstadt et al., 2019), SST-2 (Socher et al., 2013),
MRPC (","Dolan and Brockett, 2005), QQP ,STS-B
(Cer et al., 2017), MNLI (Williams et al., 2017),
QNLI (Rajpurkar et al., 2016), and RTE (Dagan
et al., 2005; Haim et al., 2006; GiampiccoloHotpotQA TriviaQA SearchQA NaturalQ NewsQA SQuAD Avg.
BERT tiny 49.8 43.4 50.2 58.9 41.3 56.6 50.0
LinkBERT tiny 54.6 50.0 58.6 60.3 42.8 58.0 54.1
BERT base 76.0 70.3 74.2 76.5 65.7 88.7 75.2
LinkBERT base 78.2 73.9 76.8 78.3 69.3 90.1 77.8
BERT large 78.1 73.7 78.3 79.0 70.9 91.1 78.5
LinkBERT large 80.8 78.2 80.5 81.0 72.6 92.7 81.0
Table 1: Performance (F1"
Cer et al.,"ed in Appendix B.
GLUE. The General Language Understanding
Evaluation (GLUE) benchmark (Wang et al., 2018)
is a popular suite of sentence-level classiﬁcation
tasks. Following BERT, we evaluate on CoLA
(Warstadt et al., 2019), SST-2 (Socher et al., 2013),
MRPC (Dolan and Brockett, 2005), QQP ,STS-B
(","Cer et al., 2017), MNLI (Williams et al., 2017),
QNLI (Rajpurkar et al., 2016), and RTE (Dagan
et al., 2005; Haim et al., 2006; GiampiccoloHotpotQA TriviaQA SearchQA NaturalQ NewsQA SQuAD Avg.
BERT tiny 49.8 43.4 50.2 58.9 41.3 56.6 50.0
LinkBERT tiny 54.6 50.0 58.6 60.3 42.8 58.0 54.1
BERT base 76."
Rajpurkar et al.,"We ﬁne-tune and evaluate LinkBERT on a suite of
downstream tasks.
Extractive question answering (QA). Given a
document (or set of documents) and a question as
input, the task is to identify an answer span from
the document. We evaluate on six popular datasets
from the MRQA shared task (Fisch et al., 2019):
HotpotQA (Yang et al., 2018), TriviaQA (Joshi
et al., 2017), NaturalQ (Kwiatkowski et al., 2019),
SearchQA (Dunn et al., 2017), NewsQA (Trischler
et al., 2017), and SQuAD (","Rajpurkar et al., 2016).
As the MRQA shared task does not have a public
test set, we split the dev set in half to make new
dev and test sets. We follow the ﬁne-tuning method
BERT (Devlin et al., 2019) uses for extractive QA.
More details are provided in Appendix B.
GLUE. The General Language Understanding
Evaluation (GLUE) benchmark (Wang et al., 2018)
is a popular suite of sentence-level classiﬁcation
tasks. Following BERT, we evaluate on CoLA
(Warstadt et al., 2019), SST-2 "
"Dagan
et al.","eneral Language Understanding
Evaluation (GLUE) benchmark (Wang et al., 2018)
is a popular suite of sentence-level classiﬁcation
tasks. Following BERT, we evaluate on CoLA
(Warstadt et al., 2019), SST-2 (Socher et al., 2013),
MRPC (Dolan and Brockett, 2005), QQP ,STS-B
(Cer et al., 2017), MNLI (Williams et al., 2017),
QNLI (Rajpurkar et al., 2016), and RTE (","Dagan
et al., 2005; Haim et al., 2006; GiampiccoloHotpotQA TriviaQA SearchQA NaturalQ NewsQA SQuAD Avg.
BERT tiny 49.8 43.4 50.2 58.9 41.3 56.6 50.0
LinkBERT tiny 54.6 50.0 58.6 60.3 42.8 58.0 54.1
BERT base 76.0 70.3 74.2 76.5 65.7 88.7 75.2
LinkBERT base 78.2 73.9 76.8 78.3 69.3 90.1 77.8
BERT large 78.1 73.7 78.3 79.0 70.9 91.1 78.5
LinkBERT large 80.8 78"
 Haim et al.,"erstanding
Evaluation (GLUE) benchmark (Wang et al., 2018)
is a popular suite of sentence-level classiﬁcation
tasks. Following BERT, we evaluate on CoLA
(Warstadt et al., 2019), SST-2 (Socher et al., 2013),
MRPC (Dolan and Brockett, 2005), QQP ,STS-B
(Cer et al., 2017), MNLI (Williams et al., 2017),
QNLI (Rajpurkar et al., 2016), and RTE (Dagan
et al., 2005;"," Haim et al., 2006; GiampiccoloHotpotQA TriviaQA SearchQA NaturalQ NewsQA SQuAD Avg.
BERT tiny 49.8 43.4 50.2 58.9 41.3 56.6 50.0
LinkBERT tiny 54.6 50.0 58.6 60.3 42.8 58.0 54.1
BERT base 76.0 70.3 74.2 76.5 65.7 88.7 75.2
LinkBERT base 78.2 73.9 76.8 78.3 69.3 90.1 77.8
BERT large 78.1 73.7 78.3 79.0 70.9 91.1 78.5
LinkBERT large 80.8 78.2 80.5 81.0 72.6 9"
"Chen
et al.","ents
helps for multi-hop reasoning on downstream tasks.
Improved understanding of document relations.
While the MRQA datasets typically use ground-
truth documents as context for answering questions,
in open-domain QA, QA systems need to use
documents obtained by a retriever, which may
include noisy documents besides gold ones (","Chen
et al., 2017; Dunn et al., 2017). In such cases, QA
systems need to understand the document relations
to perform well (Yang et al., 2018). To simulate
this setting, we modify the SQuAD dataset by
prepending or appending 1–2 distracting documents
to the original document given to each question.
Table 3 shows the result. Whil"
 Dunn et al.,"linked documents
helps for multi-hop reasoning on downstream tasks.
Improved understanding of document relations.
While the MRQA datasets typically use ground-
truth documents as context for answering questions,
in open-domain QA, QA systems need to use
documents obtained by a retriever, which may
include noisy documents besides gold ones (Chen
et al., 2017;"," Dunn et al., 2017). In such cases, QA
systems need to understand the document relations
to perform well (Yang et al., 2018). To simulate
this setting, we modify the SQuAD dataset by
prepending or appending 1–2 distracting documents
to the original document given to each question.
Table 3 shows the result. While BERT incurs a large
performance drop (-2.8%), "
Yang et al.,"ation tasks
We ﬁne-tune and evaluate LinkBERT on a suite of
downstream tasks.
Extractive question answering (QA). Given a
document (or set of documents) and a question as
input, the task is to identify an answer span from
the document. We evaluate on six popular datasets
from the MRQA shared task (Fisch et al., 2019):
HotpotQA (","Yang et al., 2018), TriviaQA (Joshi
et al., 2017), NaturalQ (Kwiatkowski et al., 2019),
SearchQA (Dunn et al., 2017), NewsQA (Trischler
et al., 2017), and SQuAD (Rajpurkar et al., 2016).
As the MRQA shared task does not have a public
test set, we split the dev set in half to make new
dev and test sets. We follow the ﬁne-tuning m"
